"datetime","Q","SS","TP","SRP","NO3","TKN","Cl","SO4","Si","Cond"
1992-10-01 18:00:00,29.0717181337023,83.1612416107383,0.282421140939597,0,1.28411073825503,0.813978355704698,69.4768456375839,0,0,0
1992-10-01 19:00:00,29.0534159960178,83.2118288590604,0.282566275167785,0,1.28510906040268,0.813705956375839,69.3226510067114,0,0,0
1992-10-01 20:00:00,29.0351138583334,83.2624161073825,0.282711409395973,0,1.28610738255034,0.81343355704698,69.1684563758389,0,0,0
1992-10-01 21:00:00,29.0168117206489,83.3130033557047,0.282856543624161,0,1.28710570469799,0.813161157718121,69.0142617449664,0,0,0
1992-10-01 22:00:00,28.9985095829644,83.3635906040268,0.283001677852349,0,1.28810402684564,0.812888758389262,68.8600671140939,0,0,0
1992-10-01 23:00:00,28.98020744528,83.414177852349,0.283146812080537,0,1.28910234899329,0.812616359060403,68.7058724832215,0,0,0
1992-10-02 00:00:00,28.9619053075955,83.4647651006711,0.283291946308725,0,1.29010067114094,0.812343959731544,68.551677852349,0,0,0
1992-10-02 01:00:00,28.9436031699111,83.5153523489933,0.283437080536913,0,1.29109899328859,0.812071560402685,68.3974832214765,0,0,0
1992-10-02 02:00:00,28.9253010322266,83.5659395973154,0.283582214765101,0,1.29209731543624,0.811799161073826,68.243288590604,0,0,0
1992-10-02 03:00:00,28.9069988945421,83.6165268456376,0.283727348993289,0,1.29309563758389,0.811526761744966,68.0890939597315,0,0,0
1992-10-02 04:00:00,28.8886967568577,83.6671140939597,0.283872483221477,0,1.29409395973154,0.811254362416107,67.934899328859,0,0,0
1992-10-02 05:00:00,28.8703946191732,83.7177013422819,0.284017617449664,0,1.29509228187919,0.810981963087248,67.7807046979866,0,0,0
1992-10-02 06:00:00,28.8520924814888,83.768288590604,0.284162751677852,0,1.29609060402685,0.810709563758389,67.6265100671141,0,0,0
1992-10-02 07:00:00,28.8337903438043,83.8188758389262,0.28430788590604,0,1.2970889261745,0.81043716442953,67.4723154362416,0,0,0
1992-10-02 08:00:00,28.8154882061198,83.8694630872483,0.284453020134228,0,1.29808724832215,0.810164765100671,67.3181208053691,0,0,0
1992-10-02 09:00:00,28.7971860684354,83.9200503355705,0.284598154362416,0,1.2990855704698,0.809892365771812,67.1639261744966,0,0,0
1992-10-02 10:00:00,28.7788839307509,83.9706375838926,0.284743288590604,0,1.30008389261745,0.809619966442953,67.0097315436241,0,0,0
1992-10-02 11:00:00,28.7605817930665,84.0212248322148,0.284888422818792,0,1.3010822147651,0.809347567114094,66.8555369127517,0,0,0
1992-10-02 12:00:00,28.742279655382,84.0718120805369,0.28503355704698,0,1.30208053691275,0.809075167785235,66.7013422818792,0,0,0
1992-10-02 13:00:00,28.7239775176976,84.1223993288591,0.285178691275168,0,1.3030788590604,0.808802768456376,66.5471476510067,0,0,0
1992-10-02 14:00:00,28.7056753800131,84.1729865771812,0.285323825503356,0,1.30407718120805,0.808530369127517,66.3929530201342,0,0,0
1992-10-02 15:00:00,28.6873732423286,84.2235738255034,0.285468959731544,0,1.3050755033557,0.808257969798658,66.2387583892617,0,0,0
1992-10-02 16:00:00,28.6690711046442,84.2741610738255,0.285614093959732,0,1.30607382550336,0.807985570469799,66.0845637583892,0,0,0
1992-10-02 17:00:00,28.6507689669597,84.3247483221476,0.285759228187919,0,1.30707214765101,0.80771317114094,65.9303691275168,0,0,0
1992-10-02 18:00:00,28.6324668292753,84.3753355704698,0.285904362416107,0,1.30807046979866,0.807440771812081,65.7761744966443,0,0,0
1992-10-02 19:00:00,28.6141646915908,84.4259228187919,0.286049496644295,0,1.30906879194631,0.807168372483221,65.6219798657718,0,0,0
1992-10-02 20:00:00,28.5958625539063,84.4765100671141,0.286194630872483,0,1.31006711409396,0.806895973154362,65.4677852348993,0,0,0
1992-10-02 21:00:00,28.5775604162219,84.5270973154362,0.286339765100671,0,1.31106543624161,0.806623573825503,65.3135906040268,0,0,0
1992-10-02 22:00:00,28.5592582785374,84.5776845637584,0.286484899328859,0,1.31206375838926,0.806351174496644,65.1593959731543,0,0,0
1992-10-02 23:00:00,28.540956140853,84.6282718120805,0.286630033557047,0,1.31306208053691,0.806078775167785,65.0052013422819,0,0,0
1992-10-03 00:00:00,28.5226540031685,84.6788590604027,0.286775167785235,0,1.31406040268456,0.805806375838926,64.8510067114094,0,0,0
1992-10-03 01:00:00,28.5043518654841,84.7294463087248,0.286920302013423,0,1.31505872483221,0.805533976510067,64.6968120805369,0,0,0
1992-10-03 02:00:00,28.4860497277996,84.780033557047,0.287065436241611,0,1.31605704697987,0.805261577181208,64.5426174496644,0,0,0
1992-10-03 03:00:00,28.4677475901151,84.8306208053691,0.287210570469799,0,1.31705536912752,0.804989177852349,64.3884228187919,0,0,0
1992-10-03 04:00:00,28.4494454524307,84.8812080536913,0.287355704697987,0,1.31805369127517,0.80471677852349,64.2342281879194,0,0,0
1992-10-03 05:00:00,28.4311433147462,84.9317953020134,0.287500838926175,0,1.31905201342282,0.804444379194631,64.080033557047,0,0,0
1992-10-03 06:00:00,28.4128411770618,84.9823825503356,0.287645973154362,0,1.32005033557047,0.804171979865772,63.9258389261745,0,0,0
1992-10-03 07:00:00,28.3945390393773,85.0329697986577,0.28779110738255,0,1.32104865771812,0.803899580536913,63.771644295302,0,0,0
1992-10-03 08:00:00,28.3762369016928,85.0835570469799,0.287936241610738,0,1.32204697986577,0.803627181208054,63.6174496644295,0,0,0
1992-10-03 09:00:00,28.3579347640084,85.134144295302,0.288081375838926,0,1.32304530201342,0.803354781879195,63.463255033557,0,0,0
1992-10-03 10:00:00,28.3396326263239,85.1847315436242,0.288226510067114,0,1.32404362416107,0.803082382550336,63.3090604026845,0,0,0
1992-10-03 11:00:00,28.3213304886395,85.2353187919463,0.288371644295302,0,1.32504194630872,0.802809983221477,63.1548657718121,0,0,0
1992-10-03 12:00:00,28.303028350955,85.2859060402685,0.28851677852349,0,1.32604026845638,0.802537583892617,63.0006711409396,0,0,0
1992-10-03 13:00:00,28.2847262132705,85.3364932885906,0.288661912751678,0,1.32703859060403,0.802265184563758,62.8464765100671,0,0,0
1992-10-03 14:00:00,28.2664240755861,85.3870805369127,0.288807046979866,0,1.32803691275168,0.801992785234899,62.6922818791946,0,0,0
1992-10-03 15:00:00,28.2481219379016,85.4376677852349,0.288952181208054,0,1.32903523489933,0.80172038590604,62.5380872483221,0,0,0
1992-10-03 16:00:00,28.2298198002172,85.488255033557,0.289097315436242,0,1.33003355704698,0.801447986577181,62.3838926174496,0,0,0
1992-10-03 17:00:00,28.2115176625327,85.5388422818792,0.289242449664429,0,1.33103187919463,0.801175587248322,62.2296979865772,0,0,0
1992-10-03 18:00:00,28.1932155248483,85.5894295302013,0.289387583892617,0,1.33203020134228,0.800903187919463,62.0755033557047,0,0,0
1992-10-03 19:00:00,28.1749133871638,85.6400167785235,0.289532718120805,0,1.33302852348993,0.800630788590604,61.9213087248322,0,0,0
1992-10-03 20:00:00,28.1566112494793,85.6906040268456,0.289677852348993,0,1.33402684563758,0.800358389261745,61.7671140939597,0,0,0
1992-10-03 21:00:00,28.1383091117949,85.7411912751678,0.289822986577181,0,1.33502516778523,0.800085989932886,61.6129194630872,0,0,0
1992-10-03 22:00:00,28.1200069741104,85.7917785234899,0.289968120805369,0,1.33602348993289,0.799813590604027,61.4587248322147,0,0,0
1992-10-03 23:00:00,28.101704836426,85.8423657718121,0.290113255033557,0,1.33702181208054,0.799541191275168,61.3045302013423,0,0,0
1992-10-04 00:00:00,28.0834026987415,85.8929530201342,0.290258389261745,0,1.33802013422819,0.799268791946309,61.1503355704698,0,0,0
1992-10-04 01:00:00,28.065100561057,85.9435402684564,0.290403523489933,0,1.33901845637584,0.79899639261745,60.9961409395973,0,0,0
1992-10-04 02:00:00,28.0467984233726,85.9941275167785,0.290548657718121,0,1.34001677852349,0.798723993288591,60.8419463087248,0,0,0
1992-10-04 03:00:00,28.0284962856881,86.0447147651007,0.290693791946309,0,1.34101510067114,0.798451593959732,60.6877516778523,0,0,0
1992-10-04 04:00:00,28.0101941480037,86.0953020134228,0.290838926174497,0,1.34201342281879,0.798179194630873,60.5335570469798,0,0,0
1992-10-04 05:00:00,27.9918920103192,86.145889261745,0.290984060402685,0,1.34301174496644,0.797906795302013,60.3793624161074,0,0,0
1992-10-04 06:00:00,27.9735898726348,86.1964765100671,0.291129194630873,0,1.34401006711409,0.797634395973154,60.2251677852349,0,0,0
1992-10-04 07:00:00,27.9552877349503,86.2470637583893,0.29127432885906,0,1.34500838926175,0.797361996644295,60.0709731543624,0,0,0
1992-10-04 08:00:00,27.9369855972658,86.2976510067114,0.291419463087248,0,1.3460067114094,0.797089597315436,59.9167785234899,0,0,0
1992-10-04 09:00:00,27.9186834595814,86.3482382550336,0.291564597315436,0,1.34700503355705,0.796817197986577,59.7625838926174,0,0,0
1992-10-04 10:00:00,27.9003813218969,86.3988255033557,0.291709731543624,0,1.3480033557047,0.796544798657718,59.6083892617449,0,0,0
1992-10-04 11:00:00,27.8820791842125,86.4494127516779,0.291854865771812,0,1.34900167785235,0.796272399328859,59.4541946308725,0,0,0
1992-10-04 12:00:00,27.863777046528,86.5,0.292,0,1.35,0.796,59.3,0,0,0
1992-10-04 13:00:00,27.837819937152,86.7895833333333,0.291991666666667,0.000245833333333333,1.3585,0.796359166666667,59.4466666666667,0,0,0
1992-10-04 14:00:00,27.811862827776,87.0791666666667,0.291983333333333,0.000491666666666667,1.367,0.796718333333333,59.5933333333333,0,0,0
1992-10-04 15:00:00,27.7859057184,87.36875,0.291975,0.0007375,1.3755,0.7970775,59.74,0,0,0
1992-10-04 16:00:00,27.759948609024,87.6583333333333,0.291966666666667,0.000983333333333333,1.384,0.797436666666667,59.8866666666667,0,0,0
1992-10-04 17:00:00,27.733991499648,87.9479166666667,0.291958333333333,0.00122916666666667,1.3925,0.797795833333333,60.0333333333333,0,0,0
1992-10-04 18:00:00,27.708034390272,88.2375,0.29195,0.001475,1.401,0.798155,60.18,0,0,0
1992-10-04 19:00:00,27.682077280896,88.5270833333333,0.291941666666667,0.00172083333333333,1.4095,0.798514166666667,60.3266666666667,0,0,0
1992-10-04 20:00:00,27.65612017152,88.8166666666667,0.291933333333333,0.00196666666666667,1.418,0.798873333333333,60.4733333333333,0,0,0
1992-10-04 21:00:00,27.630163062144,89.10625,0.291925,0.0022125,1.4265,0.7992325,60.62,0,0,0
1992-10-04 22:00:00,27.604205952768,89.3958333333333,0.291916666666667,0.00245833333333333,1.435,0.799591666666667,60.7666666666667,0,0,0
1992-10-04 23:00:00,27.578248843392,89.6854166666667,0.291908333333333,0.00270416666666667,1.4435,0.799950833333333,60.9133333333333,0,0,0
1992-10-05 00:00:00,27.552291734016,89.975,0.2919,0.00295,1.452,0.80031,61.06,0,0,0
1992-10-05 01:00:00,27.52633462464,90.2645833333333,0.291891666666667,0.00319583333333333,1.4605,0.800669166666667,61.2066666666667,0,0,0
1992-10-05 02:00:00,27.500377515264,90.5541666666667,0.291883333333333,0.00344166666666667,1.469,0.801028333333333,61.3533333333333,0,0,0
1992-10-05 03:00:00,27.474420405888,90.84375,0.291875,0.0036875,1.4775,0.8013875,61.5,0,0,0
1992-10-05 04:00:00,27.448463296512,91.1333333333333,0.291866666666667,0.00393333333333333,1.486,0.801746666666667,61.6466666666667,0,0,0
1992-10-05 05:00:00,27.422506187136,91.4229166666667,0.291858333333333,0.00417916666666667,1.4945,0.802105833333333,61.7933333333333,0,0,0
1992-10-05 06:00:00,27.39654907776,91.7125,0.29185,0.004425,1.503,0.802465,61.94,0,0,0
1992-10-05 07:00:00,27.370591968384,92.0020833333333,0.291841666666667,0.00467083333333333,1.5115,0.802824166666667,62.0866666666667,0,0,0
1992-10-05 08:00:00,27.344634859008,92.2916666666667,0.291833333333333,0.00491666666666667,1.52,0.803183333333333,62.2333333333333,0,0,0
1992-10-05 09:00:00,27.318677749632,92.58125,0.291825,0.0051625,1.5285,0.8035425,62.38,0,0,0
1992-10-05 10:00:00,27.292720640256,92.8708333333333,0.291816666666667,0.00540833333333333,1.537,0.803901666666667,62.5266666666667,0,0,0
1992-10-05 11:00:00,27.26676353088,93.1604166666667,0.291808333333333,0.00565416666666667,1.5455,0.804260833333333,62.6733333333333,0,0,0
1992-10-05 12:00:00,27.240806421504,93.45,0.2918,0.0059,1.554,0.80462,62.82,0,0,0
1992-10-05 13:00:00,27.214849312128,93.7395833333333,0.291791666666667,0.00614583333333333,1.5625,0.804979166666667,62.9666666666667,0,0,0
1992-10-05 14:00:00,27.188892202752,94.0291666666667,0.291783333333333,0.00639166666666667,1.571,0.805338333333333,63.1133333333333,0,0,0
1992-10-05 15:00:00,27.162935093376,94.31875,0.291775,0.0066375,1.5795,0.8056975,63.26,0,0,0
1992-10-05 16:00:00,27.136977984,94.6083333333333,0.291766666666667,0.00688333333333333,1.588,0.806056666666667,63.4066666666667,0,0,0
1992-10-05 17:00:00,27.111020874624,94.8979166666667,0.291758333333333,0.00712916666666667,1.5965,0.806415833333333,63.5533333333333,0,0,0
1992-10-05 18:00:00,27.085063765248,95.1875,0.29175,0.007375,1.605,0.806775,63.7,0,0,0
1992-10-05 19:00:00,27.059106655872,95.4770833333333,0.291741666666667,0.00762083333333333,1.6135,0.807134166666667,63.8466666666667,0,0,0
1992-10-05 20:00:00,27.033149546496,95.7666666666667,0.291733333333333,0.00786666666666667,1.622,0.807493333333333,63.9933333333333,0,0,0
1992-10-05 21:00:00,27.00719243712,96.05625,0.291725,0.0081125,1.6305,0.8078525,64.14,0,0,0
1992-10-05 22:00:00,26.981235327744,96.3458333333333,0.291716666666667,0.00835833333333333,1.639,0.808211666666667,64.2866666666667,0,0,0
